1,邂逅編,2.0,1
2,侵攻編,2.2,1
3,真成編,2.4,1
4,起動編,3.0,2
5,律動編,3.2,2
6,天動編,3.4,2
7,デルタ編,4.0,3
8,シグマ編,4.2,3
9,アルファ編,4.4,3
10,覚醒編,5.0,4
11,共鳴編,5.2,4
12,再生編,5.4,4
1001,絶バハムート討滅戦,4.11,1001
1002,絶アルテマウェポン破壊作戦,4.31,1001
1003,絶アレキサンダー討滅戦,5.11,1001
